identifier,creator,title,publisher,date,bibliographicCitation,description
paris-review-35-1,William S. Burroughs,Paris Review 35,,1965,"schottlaender/4.0/C119, maynard-and-miles/C127, maynard-and-miles/E3",Signed by Burroughs at entry.
call-me-burroughs-1,"William S. Burroughs, Emmett Williams, Jean-Jacques Lebel",Call Me Burroughs,Paris: The English Bookshop,1965,schottlaender/4.0/E6a,
the-marijuana-newsletter-1-1,William S. Burroughs,The Marijuana Newsletter 1,,1965-01-30,"schottlaender/4.0/C107, maynard-and-miles/C103",
my-own-mag-11-1,William S. Burroughs,My Own Mag 11,,1965-02,"schottlaender/4.0/C113, schottlaender/4.0/C110, maynard-and-miles/C105, maynard-and-miles/C106, maynard-and-miles/C107, maynard-and-miles/C108",
the-marijuana-newsletter-2-1,William S. Burroughs,The Marijuana Newsletter 2,,1965-03-15,"schottlaender/4.0/C108, maynard-and-miles/C110",
my-own-mag-12-1,William S. Burroughs,My Own Mag 12,,1965-05,"schottlaender/4.0/C114, schottlaender/4.0/C96, maynard-and-miles/C112, maynard-and-miles/C113",
my-own-mag-13-1,William S. Burroughs,My Own Mag 13,,1965-08,"schottlaender/4.0/C115, maynard-and-miles/C122",Limited. Numbered 398 of 500.
my-own-mag-14-1,William S. Burroughs,My Own Mag 14,,1965-12,"schottlaender/4.0/C116, schottlaender/4.0/C112, maynard-and-miles/C131",
naked-lunch-2,William S. Burroughs,Naked Lunch,"New York: Grove Press, Inc.",1966,"schottlaender/4.0/A2e, maynard-and-miles/A2d",Second printing.
the-soft-machine-2,William S. Burroughs,The Soft Machine,"New York: Grove Press, Inc.",1966,"schottlaender/4.0/A5b, maynard-and-miles/A5b",First American.
nova-express-4,William S. Burroughs,Nova Express,London: Jonathan Cape,1966,"schottlaender/4.0/A10c, maynard-and-miles/A10c",First English. With wording on page 4 blacked out with black magic marker.
apo-33-bulletin-1,William S. Burroughs,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1966,"schottlaender/4.0/A13b, maynard-and-miles/A12b",Second. Some yellowing and chipping of pages.
the-invisible-generation-1,William S. Burroughs,The Invisible Generation,London: Project Sigma,1966,schottlaender/4.0/C146,"First edition thus. 11 3/8"" x 17"", offset-printed on recto only."
east-side-review-1-1-1,William S. Burroughs,East Side Review 1(1),,1966-01,"schottlaender/4.0/C126, maynard-and-miles/C132",
my-own-mag-15-1,William S. Burroughs,My Own Mag 15,,1966-04,"schottlaender/4.0/C142, maynard-and-miles/C137, maynard-and-miles/C138, maynard-and-miles/C139, maynard-and-miles/C140",
