identifier,creator,title,publisher,date,bibliographicCitation,description
the-book-of-breething-4,William S. Burroughs,The Book of Breething,Berkeley: Blue Wind Press,1975,schottlaender/4.0/A31b,Simultaneous wraps issue of first American edition.
the-book-of-breething-5,William S. Burroughs,The Book of Breething,Berkeley: Blue Wind Press,1975,schottlaender/4.0/A31b,First American edition.
snack-1,William S. Burroughs,Snack...,London: Aloes Books,1975,schottlaender/4.0/A32,First.
verdelgen-1,William S. Burroughs,Verdelgen,"Bussum, Netherlands: Uitgeverij Agathon",1975,schottlaender/4.0/A33,First.
ruby-editions-portfolio-1-1,"Henri Chopin, Cozette de Charmoy, William S. Burroughs",Ruby Editions Portfolio 1,London and Toronto: Wallrich Books,1975,schottlaender/4.0/B2,"First. Signed by Burroughs on his contribution ""Une Poeme Moderne"", number 18 of 100. Also contains broadsides by Cozette de Charmoy and Henri Chopin. Tape has lost adhesive on portfolio folder."
sidetripping-1,"Charles Gatewood, William S. Burroughs",Sidetripping,"New York: Derbibooks, Inc.",1975,schottlaender/4.0/G26a,First.
william-s-burroughs-an-annot-1,"Goodman, Michael B.",William S. Burroughs: An Annotated Bibliography of his Works and Criticism,New York: Garland Reference Library of the Humanities,1975,schottlaender/4.0/I3,"First. A bibliography compiled by Michael B. Goodman of SUNY, Stony Brook, predating the publication of Maynard and Miles. Without dust jacket as issued."
le-colloque-de-tanger-autogr-1,Francois Legarde,Le Colloque de Tanger - Autograph Letters,,1976,,"Per James Musser: ""Also included [with Le Colloque de Tanger as obtained] are 6 Autograph Letters Signed from Francois Lagarde to Brion Gysin."""
cobble-stone-gardens-1,William S. Burroughs,Cobble Stone Gardens,"Cherry Valley, NY: Cherry Valley Editions",1976,schottlaender/4.0/A34,"First. One of 50 hand bound copies signed by Burroughs, but mysteriously unnumbered in spite of publisher's statement to the contrary. Bound in boards with black cloth and front wrapper pasted on front, with binding somewhat loose."
cobble-stone-gardens-2,William S. Burroughs,Cobble Stone Gardens,"Cherry Valley, New York: Cherry Valley Editions",1976,schottlaender/4.0/A34,First in wrappers. Slightly yellowed.
the-retreat-diaries-1,William S. Burroughs,The Retreat Diaries,New York: The City Moon,1976,schottlaender/4.0/A35,"First. Signed and lettered by Burroughs, I (or possibly L?) of 26. As issued in brown paper envelope with cutaway section exposing red-on-white image of Burroughs, on front wrapper, with Burroughs' lettering for title on front wrapper."
the-retreat-diaries-2,William S. Burroughs,The Retreat Diaries,New York: The City Moon,1976,schottlaender/4.0/A35,First. Signed by Burroughs and Allen Ginsberg. Slightly soiled.
oeuvre-croisee-1,William S. Burroughs,Oeuvre Croisee,Paris: Flammarion,1976,schottlaender/4.0/A36a,"First French. The true first edition of ""The Third Mind."" Signed by Brion Gysin, inscribed ""with best wishes Brion Gysin Paris 15 aug 81""."
le-colloque-de-tanger-1,Francois Legarde,Le Colloque de Tanger,Geneva: Editions Ottezec,1976,schottlaender/4.0/G45a,"Ten black and white photos of Burroughs and Brion Gysin taken during the Colloque de Tanger symposium. Signed by Burroughs, Gysin, Francois Legarde (the photographer) and Gerard-Georges Lemaire (the symposium's organizer.) Number 19 of 75. Tear and wear to lower left corner of printed folder."
the-coevolution-quarterly-16-1,William S. Burroughs,The CoEvolution Quarterly 16,,1977-12-21,schottlaender/4.0/C421,
the-yage-letters-2,"William S. Burroughs, Allen Ginsberg",The Yage Letters,San Francisco: City Lights Books,1978,schottlaender/4.0/A8b,Eighth printing.
the-third-mind-1,William S. Burroughs,The Third Mind,"New York: The Viking Press, Inc.",1978,schottlaender/4.0/A36b,First American.
the-third-mind-2,William S. Burroughs,The Third Mind,"New York: The Viking Press, Inc.",1978,schottlaender/4.0/A36b,First American.
ali-s-smile-naked-scientology-1,William S. Burroughs,Ali's Smile/Naked Scientology,Bonn: Expanded Media Editions,1978,schottlaender/4.0/A37a,First. Wear on corners and creases in spine.
when-naked-troubadours-shoot-s-1,William S. Burroughs,When Naked Troubadours Shoot Snotty Baboons,"Northridge, CA: Lord John Press",1978,schottlaender/4.0/A39,"First. Signed and numbered by Burroughs, number 99 of 100. Broadside, 14x20"", designed and illustrated by James R. Silke, also signed by him."
search-destroy-10-1,William S. Burroughs,Search & Destroy 10,San Francisco: Search & Destroy,1978,schottlaender/4.0/C455,"Contains ""Some Last Words with Hombre Invisible."" Signed by Burroughs, inscribed ""William Burroughs for Burt Bretton."" Some yellowing."
burroughs-i-junkie-auf-der-s-1,William S. Burroughs,"Burroughs I (Junkie, Auf der Suche nach Yage, Naked Lunch, Nova Express)",Frankfurt: Zweitausendeins,1978,"schottlaender/4.0/D44, schottlaender/4.0/D68, schottlaender/4.0/D87, schottlaender/4.0/D145","First. Contains German translations of Junky, the Yage Letters, Naked Lunch and Nova Express. Inscribed by the translator Carl Wiessner: ""Dear William &mdash; One of the first copies, fresh from the binder's, to you - Hope you like this book - As ever, Carl"". Therefore this is presumably Burroughs' own copy. In cardboard slipcase."
the-three-minds-1,Francois Legarde,The Three Minds,Geneva: Images Nuit Blanche,1978,schottlaender/4.0/G46,"First. A triptych of photographs made by Francois Legarde, with a photo of Burroughs on the right panel, Brion Gysin on the left, and a superimposed image of the two in the center. With folded insert, signed by Burroughs, Gysin and Legarde, number 17 of 35. In orange cardboard mounting."
the-nova-convention-1,"John Giorno, James Grauerholz, Sylvere Lotringer",The Nova Convention,New York: Entermedia,1978,schottlaender/4.0/G62,"First. Inscribed by James Grauerholz 'For Brad Morrow ""You shoulda been there!"" James Grauerholz'."
letters-to-allen-ginsberg-1953-1,William S. Burroughs,Letters to Allen Ginsberg 1953 - 1957,Geneva: Claude Givaudan/Am Here Books,1978,schottlaender/4.0/H12a,"First. Signed by Burroughs and Allen Ginsberg, number 18 of 100 of a bilingual French-English version. In clear acetate dust jacket with some damage to the upper rear edge."
william-s-burroughs-a-biblio-1,"Joe Maynard, Barry Miles","William S. Burroughs: A Bibliography, 1953-73","Charlottesville, VA: University Press of Virginia",1978,schottlaender/4.0/I5,First. Without dust jacket as issued.
william-s-burroughs-a-biblio-2,"Joe Maynard, Barry Miles","William S. Burroughs: A Bibliography, 1953-73","Charlottesville, VA: University Press of Virginia",1978,schottlaender/4.0/I5,First. Signed by Burroughs. Without dust jacket as issued.
submission-1,Jimmy De Sana,Submission,New York: Scat Publications,1979,,"First. Signed by Burroughs and De Sana, dated ""1985"" by De Sana. Wrappers scuffed and worn at edges."
ah-pook-is-here-1,William S. Burroughs,Ah Pook Is Here,London: John Calder,1979,schottlaender/4.0/A40a,First. Sunning to spine of dust jacket.
blade-runner-a-movie-1,William S. Burroughs,Blade Runner (a movie),"Berkeley, CA: Blue Wind Press",1979,schottlaender/4.0/A41a,First.
blade-runner-a-movie-2,William S. Burroughs,Blade Runner (a movie),"Berkeley, CA: Blue Wind Press",1979,schottlaender/4.0/A41a,"First. Signed by Burroughs, numbered 63 of 100."
doctor-benway-1,William S. Burroughs,Doctor Benway,"Santa Barbara, CA: Bradford Morrow",1979,schottlaender/4.0/A42,"First. Signed by Burroughs, number 135 of 150. Slight yellowing to spine and top of dust jacket."
roosevelt-after-inauguration-3,William S. Burroughs,Roosevelt After Inauguration,San Francisco: City Lights Books,1979,schottlaender/4.0/A43,"First edition thus in wrappers. Reprint in wrappers, with ""Sects and Death"", ""The Whole Tamale"", and ""When Did I Stop Wanting To Be President?"""
scrapbook-3-1,William S. Burroughs,Scrapbook 3,Geneva: Editions Claude Givaudan,1979,schottlaender/4.0/A44,"First. Signed by Burroughs, number 27 of 30. Plate on inside back cover reads: ""This first edition, printed in Xerox copies by Claudia Katayanagi and Patrick R. Firbo, Great White Way Kinetics, New-York, in January 1979, has been printed at 30 numbered copies."" and ""Copyright Editions Claude Givaudan 3, Rue de Soleil Levant, Geneva""."
wouldn-t-you-polish-pine-floor-1,William S. Burroughs,Wouldn't You Polish Pine Floors...,"St Paul, MN: Bookslinger",1979,schottlaender/4.0/A45,"First. Signed by Burroughs, lettered B of 26. Broadside, 10x13"", in ""16 Broadsides"" from Walker Art Center Reading Series 1979-1980, Minneapolis, Minnesota. All 16 in complete set. In clamshell box."
the-evening-sun-turned-crimson-1,Herbert Huncke,The Evening Sun Turned Crimson,"Cherry Valley, NY: Cherry Valley Editions",1980,,"First, trade edition. Signed by Herbert Huncke."
port-of-saints-2,William S. Burroughs,Port of Saints,"Berkeley, CA: Blue Wind Press",1980,schottlaender/4.0/A29b,First American.
the-book-of-breething-7,William S. Burroughs,The Book of Breething,"Berkeley, CA: Blue Wind Press",1980,schottlaender/4.0/A31c,"Second American. Signed by Burroughs, numbered 46 of 175. Without dust jacket as issued."
the-book-of-breething-6,William S. Burroughs,The Book of Breething,"Berkeley, CA: Blue Wind Press",1980,schottlaender/4.0/A31c,"Second American, trade edition. Without dust jacket as issued."
three-novels-the-soft-machine-1,William S. Burroughs,"Three Novels (The Soft Machine, Nova Express, The Wild Boys)",New York: Grove Press. Inc.,1980,schottlaender/4.0/A46a,First edition in wrappers. The Evergreen imprint version of this collection.
burroughs-ii-die-wilden-boys-1,William S. Burroughs,"Burroughs II (Die wilden Boys, Port of Saints)",Frankfurt: Zweitausendeins,1980,"schottlaender/4.0/D98, schottlaender/4.0/D137","First. Per James Musser: ""The first German edition of The Wild Boys (and presumably first German Port of Saints).  Tipped-in frontis illustration by S. Clay Wilson whose full-page plates appear throughout the book.  BURROUGHS' PERSONAL COPY SPECIALLY BOUND for him by the publisher in DIAMONDBACK RATTLESNAKE SKIN with Burroughs' initials stamped to the spine. Signed on the title page by Burroughs and also by S. Clay Wilson who dated his signature 1996.  (Wilson's person copy was bound in Niger goat and snakeskin--so depending on how you look at it each copy is unique---or you can say there were two specially bound author copies bound by the publisher.)  Fine in slightly used slightly soiled folding chemise covered in the same silk they used for the endpapers."""
cities-of-the-red-night-1,William S. Burroughs,Cities of the Red Night,"New York: Holt, Rinehart and Winston",1981,schottlaender/4.0/A47a,First. Signed by Burroughs.
early-routines-1,William S. Burroughs,Early Routines,"Santa Barbara, CA: Cadmus Editions",1981,schottlaender/4.0/A48a,"First. Signed by Burroughs and David Hockney, who did Burroughs' portrait on front cover. Lettered Q of 26, in rice paper dust jacket."
early-routines-2,William S. Burroughs,Early Routines,"Santa Barbara, CA: Cadmus Editions",1981,schottlaender/4.0/A48a,"First. Signed by Burroughs, numbered 2 of 125, in rice paper dust jacket."
essais-tome-i-1,William S. Burroughs,Essais - Tome I,Paris: Christian Bourgois Éditeur,1981,schottlaender/4.0/A49,First. Volume 1 of 2.
streets-of-chance-1,William S. Burroughs,Streets of Chance,New York: The Red Ozier Press,1981,schottlaender/4.0/A50,"First. Signed by Burroughs and illustrator Howard Buchwald, number 121 of 160. Beautifully bound, without dust jacket as issued."
am-here-books-catalogue-5-1,Am Here Books,Am Here Books Catalogue 5,"Santa Barbara, CA: Am Here Books",1981,schottlaender/4.0/E14,"Lists 37 Burroughs items. Contains 7"" vinyl E.P. record of Burroughs reading ""The Last Words of Hassan-I-Sabbah""."
you-re-the-guy-i-want-to-share-1,John Giorno,You're The Guy I Want To Share My Money With,New York: Giorno Poetry Systems,1981,schottlaender/4.0/E36a,"First. GPS 020-021. Two 12"" vinyl records in gatefold jacket."
with-william-burroughs-1,Victor Bockris,With WIlliam Burroughs,New York: Seaver Books,1981,schottlaender/4.0/H6b,First edition in wrappers.
atticus-books-catalogue-8-1,Atticus Books,Atticus Books Catalogue 8,"San Diego, CA: Atticus Books",1981,schottlaender/4.0/I1,"First. Signed by Burroughs, numbered 39 of 50. Lists 360 Burroughs items."
contemporary-literary-censorsh-1,Michael B. Goodman,Contemporary Literary Censorship: The Case History of Burroughs' Naked Lunch,"Metuchen, NJ : Scarecrow Press",1981,schottlaender/4.0/I22,First. Critical study by Michael Barry Goodman. Signed by the author.
the-naked-lunch-4,William S. Burroughs,The Naked Lunch,London: John Calder,1982,schottlaender/4.0/A2i,"Softbound. Review copy, with publisher's note to reviewers laid in."
electronic-revolution-3,William S. Burroughs,Electronic Revolution,Bonn: Expanded Media Editions,1982,schottlaender/4.0/A24d,"Third. Reprint in wrappers, with ""Feedback from Watergate to the Garden of Eden""."
cities-of-the-red-night-2,William S. Burroughs,Cities of the Red Night,"New York: Holt, Rinehart and Winston",1982,schottlaender/4.0/A47c,First printing in pictorial wrappers. Wrappers faded and cracked on spine.
mummies-1,William S. Burroughs,Mummies,Dusseldorf & New York: Edition Kaldeway,1982,schottlaender/4.0/A51,"First. Contains 5 prints of etchings signed by the artist, Carl Apfelschnitt. Half-title reads: ""Edition: Volume 5"". Colophon reads: ""Printed in 70 copies and 5 copies on [sic] Japan. Bound by Christian Zwang, Hamburg. Typography Gunnar A. Kaldewey. First Edition. Copyright William Borroughs [sic] 1982."" Some scuffing to front cover."
sinki-s-sauna-1,William S. Burroughs,Sinki's Sauna,New York: Pequod Press,1982,schottlaender/4.0/A52a,"First. Signed by Burroughs, numbered 102 of 500."
a-william-burroughs-reader-1,William S. Burroughs,A William Burroughs Reader,London: Picador,1982,schottlaender/4.0/A53,First. Rubbed on spine of wrappers.
re-search-4-5-1,"William S. Burroughs, Throbbing Gristle, Brion Gysin, V. Vale",RE/Search 4/5,"San Francisco, CA: RE/Search Publications",1982,schottlaender/4.0/C523a,First. Softbound.
re-search-4-5-2,"William S. Burroughs, Throbbing Gristle, Brion Gysin, V. Vale",RE/Search 4/5,"San Francisco, CA: RE/Search Publications",1982,schottlaender/4.0/C523b,Second. Hardbound. Signed by Vale.
the-final-academy-statements-1,William S. Burroughs,The Final Academy: Statements of a Kind,London: The Final Academy,1982,schottlaender/4.0/G22,First. Compiled by Roger Ely.
letters-to-allen-ginsberg-1953-2,William S. Burroughs,Letters to Allen Ginsberg 1953 - 1957,New York: Full Court Press,1982,schottlaender/4.0/H12c,"First American in wrappers. Personal copy of Peter Orlovsky, signed by Orlovsky and inscribed by Burroughs ""For Peter all the best Letters Love William S. Burroughs June 7, 1982.""  Slight pencil mark on front cover."
letters-to-allen-ginsberg-1953-3,William S. Burroughs,Letters to Allen Ginsberg 1953 - 1957,New York: Full Court Press,1982,schottlaender/4.0/H12c,"First American. Signed by Burroughs and Ginsberg, number 95 of 100."
letters-to-allen-ginsburg-1953-1,William S. Burroughs,Letters to Allen Ginsburg 1953 - 1957,New York: Full Court Press,1982,schottlaender/4.0/H12c,First American. Slight pencil mark on lower left front of dust jacket. With xerox of publisher's press release laid in.
to-talk-for-joe-the-dead-t-1,William S. Burroughs,"""to talk for Joe the Dead"" - Typescript",,1983,,"Per Brian Cassidy: ""[1pp. Typed MSS With Holograph Corrections and Notes From His Short Story 'to talk for Joe the Dead'].  1983.  4to. Very good or better; mild toning along edges where framed mat once was, tape remnant from same to top edge.  Both unobtrusive. Single manuscript page from Burroughs' short story ""to talk for Joe the Dead"" from his collection TORNADO ALLEY (Cherry Valley, 1989 - provided).  This portion corresponds to pp. 17-18 from that edition.Typed and dated April 16, 1983, the piece likely originated from Burroughs' journal as several lines at the beginning of the page seem to record a dream featuring Allen Ginsberg not mentioned in the published version.  Several hand corrections to typescript as well as two informative notes to upper and lower margins in Burroughs' hand. The first: ""He's going to kill his doctor (me)"".  The second explains the origins of the story: ""This is an extension of Jerry Wallace story about a criminal boy 7 feet tall.  I said, ""He'd better abreviate [sic?] himself"".  An uncommon look at Burroughs' working methods, even if only in part."""
re-search-8-9-1,"V. Vale, Andrea Juno",RE/Search 8/9,"San Francisco, CA: RE/Search Publications",1984,,"Contains essays ""Mythmaker of the 20th Century"" and ""Preface to The Atrocity Exhibition"" by Burroughs."
bastard-1,"S. Clay Wilson, Bernard Willem Holtrop",Bastard,Paris: Futuropolis,1984,,"First. Personal copy of Gregory Corso of cartoon collaboration by Willem and Wilson. Signed by Burroughs, Wilson and Gregory Corso (using his Italian name ""Nuncio Corso""). Contains endorsement by Burroughs."
naked-lunch-3,William S. Burroughs,Naked Lunch,"New York: Grove Press, Inc.",1984,schottlaender/4.0/A2j,"Signed limited 25th anniversary edition. Signed and numbered by Burroughs, 38 of 500. In slip case without dust jacket as issued."
essais-tome-ii-1,William S. Burroughs,Essais - Tome II,Paris: Christian Bourgois Éditeur,1984,schottlaender/4.0/A49,First. Volume 2 of 2.
the-burroughs-file-1,William S. Burroughs,The Burroughs File,San Francisco: City Lights Books,1984,schottlaender/4.0/A54,First in wrappers.
the-burroughs-file-2,William S. Burroughs,The Burroughs File,San Francisco: City Lights Books,1984,schottlaender/4.0/A54,First.
the-four-horsemen-of-the-apoca-1,William S. Burroughs,The Four Horsemen of the Apocalypse,Bonn: Expanded Media Editions,1984,schottlaender/4.0/A55a,First.
the-place-of-dead-roads-1,William S. Burroughs,The Place of Dead Roads,"New York: Holt, Rinehart and Winston",1984,schottlaender/4.0/A56a,"First. Signed and numbered by Burroughs, 176 of 300. In slip case without dust jacket as issued."
the-place-of-dead-roads-2,William S. Burroughs,The Place of Dead Roads,"New York: Holt, Rinehart and Winston",1984,schottlaender/4.0/A56a,First.
ruski-1,William S. Burroughs,Ruski,"Brooklyn, NY: Hand-Job Press",1984,schottlaender/4.0/A57a,"First. Signed by Burroughs, numbered 314 of 500."
new-york-inside-out-1,Robert Walker,New York Inside Out,Toronto: Skyline Press,1984,schottlaender/4.0/G92,First.
kerouac-friends-a-beat-gen-1,Fred McDarrah,Kerouac & Friends - A Beat Generation Album,New York : W. Morrow,1985,,"First. Signed by the author and the following Beat Generation figures: Ted Joans, Herbert Hunke, Carl Solomon, Jack Micheline, Diane di Prima, Gregory Corso and Allen Ginsberg."
the-adding-machine-1,William S. Burroughs,The Adding Machine,London: John Calder,1985,schottlaender/4.0/A58a,"First. Per the London bookseller Any Amount of Books: ""From the working library of novelist Angela Carter (1940 - 1992) with her posthumous bookplate. This small, attractive bookplate reads 'From the Library of Angela Carter' and was designed by Sebastian Carter of the Rampant Lions Press and was authorised by the executors of her estate, from whom we bought the major part of her considerable collection. Fine in fine dust wrapper."""
queer-1,William S. Burroughs,Queer,"New York: Viking Penguin, Inc.",1985,schottlaender/4.0/A59a,First.
the-adding-machine-2,William S. Burroughs,The Adding Machine,New York: Seaver Books,1986,schottlaender/4.0/A58b,First American.  Signed by Burroughs. Dust jacket worn on edges.
the-adding-machine-3,William S. Burroughs,The Adding Machine,New York: Seaver Books,1986,schottlaender/4.0/A58b,First American. Dust jacket worn on edges.
the-cat-inside-1,William S. Burroughs,The Cat Inside,New York: The Grenfell Press,1986,schottlaender/4.0/A60a,"First. Signed by Burroughs and Brion Gysin, who illustrated the book. Number 18 of 115, hand bound and hand printed on antique paper, with in rice paper wraps. With publisher's pre-publication advertisement."
the-cat-inside-2,William S. Burroughs,The Cat Inside,New York: The Grenfell Press,1986,schottlaender/4.0/A60a,"First. Signed by Burroughs and Gysin, number XVI of 18 copies bound in vellum with Gysin drawing in gold on the front cover. In custom made box."
conjunctions-9-1,William S. Burroughs,Conjunctions 9,"New York: David R. Godine, Publishers, Inc.",1986,schottlaender/4.0/C558,"Contains ""The Cat Inside."" Hard bound."
william-burroughs-an-essay-1,Alan Ansen,William Burroughs: An Essay,"Sudbury, MA: Water Row Press",1986,schottlaender/4.0/H2,"First. Signed by Ansen and Burroughs, number 9 of 50."
from-the-western-lands-1,William S. Burroughs,From the Western Lands,"Santa Fe, NM: Casa Sin Nombre",1987,schottlaender/4.0/A61,"First. Signed by Burroughs, one of 750. Broadside."
the-western-lands-1,William S. Burroughs,The Western Lands,"New York: Viking Penguin, Inc.",1987,schottlaender/4.0/A62a,First.
the-western-lands-2,William S. Burroughs,The Western Lands,"New York: Viking Penguin, Inc.",1987,schottlaender/4.0/A62a,First. Signed by Burroughs.
lee-and-the-boys-in-the-backro-1,Paul Steven Lim,Lee and the Boys in the Backroom,"Lawrence, KS: Lawrence Community Theatre",1987,schottlaender/4.0/G50b,"Poster announcing ""Lee and the Boys in the Backroom,"" ""a play ""based on the novel QUEER and the unpublished correspondence"" of WILLIAM S. BURROUGHS at Lawrence Community Theatre May 8 - 12,""  directed by Paul Lim, a professor of English at the University of Kansas and one of Burroughs' friends in Lawrence. Picture of Burroughs seated with ""boy"" and life-sized doll at a table with Mexican food."
word-cultures-radical-theory-1,Robin Lydenberg,Word Cultures: Radical Theory and Practice in William S. Burroughs’ Fiction.,"Urbana, IL : University of Illinois Press",1987,schottlaender/4.0/I37,First. Critical study by Robin Lydenberg.
the-four-horsemen-of-the-apoca-2,William S. Burroughs,The Four Horsemen of the Apocalypse,Bonn: Expanded Media Editions,1988,schottlaender/4.0/A55a,First. Second printing.
william-burroughs-painting-1,"William S. Burroughs, James Grauerholz",William Burroughs: Painting,Amsterdam: Suzanne Biederberg Gallery,1988,schottlaender/4.0/B3,"First. Brochure accompanying exhibitions in Amsterdam and London. With reproductions of 16 paintings and ""On Burroughs' Art"", an essay by James Grauerholz, including explication of each piece."
william-s-burroughs-1,William S. Burroughs,William S. Burroughs,"Santa Fe, NM: Gallery Casa Sin Nombre",1988,schottlaender/4.0/B4,First. Softbound.
meet-the-beats-poster-no-2-1,Robert Crumb,Meet The Beats Poster No. 2 - William S. Burroughs,"Sudbury, MA: Water Row Press",1988,schottlaender/4.0/G22,Unsigned print of Robert Crumb caricature of Burroughs. In museum-quality matte and frame.
apocalypse-1,"William S. Burroughs, Keith Haring",Apocalypse,New York: George Mulder Fine Arts,1988,schottlaender/4.0/G35a,First. Dust jacket yellowing around edges. Hardbound.
apocalypse-2,"William S. Burroughs, Keith Haring",Apocalypse,New York: George Mulder Fine Arts,1988,schottlaender/4.0/G35a,First issue in wrappers.
literary-outlaw-1,Ted Morgan,Literary Outlaw,"New York: Henry Holt and Company, Inc.",1988,schottlaender/4.0/H33a,First.
mindfield-1,Gregory Corso,Mindfield,New York: Thunder's Mouth Press,1989,,"First. A book of poems by Gregory Corso, with forwards by Burroughs and Allen Ginsberg. Letter O of a limited edition of 26 signed by the author, as well as Burroughs and Ginsberg. As issued in red slip case."
literary-vision-1,"William S. Burroughs, James Grauerholz",Literary Vision,New York: Jack Tilton Gallery,1989,,"Perfect-bound brochure accompanying showing of painting by noted literary figures, including Burroughs and Gysin, at Jack Tilton Gallery, New York. With excerpts from Grauerholz's essay ""On Burroughs' Art""."
portrait-of-burroughs-1,William S. Burroughs,Portrait of Burroughs,,1989,,"Portrait of Burroughs in casual shirt sitting, facing camera, with wry expression on face. Signed ""By Nelson Lyon, WSB '89"". Creased at lower right corner."
clause-27-is-proposition-6-is-1,William S. Burroughs,Clause 27 Is Proposition 6 Is The Whole Tamale,n.p.: The Horse Press,1989,schottlaender/4.0/A63,"First. Signed by Burroughs ""William S. Burroughs 1/23/1997"". Year of publication approximate per Shoaf and Schottlaender."
interzone-1,William S. Burroughs,Interzone,"New York: Viking Penguin, Inc.",1989,schottlaender/4.0/A64a,First.
tornado-alley-1,William S. Burroughs,Tornado Alley,"Cherry Valley, NY: Cherry Valley Editions",1989,schottlaender/4.0/A65,First. In wrappers.
tornado-alley-2,William S. Burroughs,Tornado Alley,"Cherry Valley, NY: Cherry Valley Editions",1989,schottlaender/4.0/A65,"First. Signed by Burroughs, unnumbered, one of 100, without dust jacket as issued. Hardbound."
william-s-burroughs-paintings-1,"William S. Burroughs, James Grauerholz",William S. Burroughs Paintings,Basel: Editions Carzaniga + Ueker AG,1989,schottlaender/4.0/B11,"First. Brochure accompanying exhibition in Galerie Carzaniga + Ueker, Basel. With reproductions of 23 paintings and German and English versions of Grauerholz's essay."
conjunctions-13-1,William S. Burroughs,Conjunctions 13,New York: Collier Press,1989,schottlaender/4.0/C594,"Contains ""Christ and The Museum of Extinct Species"". In wrappers."
towers-open-fire-1,Antony Balch,Towers Open Fire,"Montauk, NY: Mystic Fire Video",1989,schottlaender/4.0/F22,"Films featuring Burroughs and his work by Antony Balch, with the involvement of Ian Sommerville and Brion Gysin. VHS."
stiletto-1-1,William S. Burroughs,Stiletto 1,"Lawrence, KS: Howling Dog Press",1989-04,schottlaender/4.0/C603,"Contains 4 selections from ""Interzone"". With insert reproduction of ""Twilight's Last Gleaming"" painting by Burroughs. In  plastic bag with metallic wrappers."
the-atrocity-exhibition-1,J.G. Ballard,The Atrocity Exhibition,"San Francisco, CA: RE/Search Publications",1990,,Preface by Burroughs. First issue in wrappers.
paper-roses-on-the-prefabricat-1,William S. Burroughs,Paper Roses on the Prefabricated Heart,,1990,,"Signed by Burroughs. Fabriano paper, 20x16"". Number 8 in Earl McGrath Gallery list of works for Los Angeles exhibit in September-October 1990. In original matte and frame."
dead-city-radio-1,William S. Burroughs,Dead City Radio,"New York: Island Records, Inc.",1990,schottlaender/4.0/E7,"Single CD, 17 tracks of readings from various works, with various backing musicians. Produced by Nelson Lyon, who became a good friend of Burroughs and amassed a significant collection of Burroughs and Beats material, sold at auction in 1999, and some items of which have found their way into my collection."
earl-mcgrath-gallery-list-of-1,Earl McGrath Gallery,Earl McGrath Gallery: List of Works,"West Hollywood, CA: Earl McGrath Gallery",1990-09,,"Xerox of list of works by Burroughs on exhibition at the Earl McGrath Gallery in West Hollywood, CA, September-October 1990. With receipt for ""Paper Roses on the Prevaricated Heart."""
the-drug-user-documents-1840-1,"John Strausbaugh, Donald Blaise",The Drug User: Documents 1840 - 1960,New York: Blast Books,1991,,First. Softbound. Contains foreword by Burroughs.
x-ray-man-1,William S. Burroughs,X-Ray Man,New York: Water Row/Lococo Mulder,1991,,"Per Eric Shoaf, ""untitled three-color broadside (red, blue & purple on white background). 9.5 x 13 inches silkscreen print with small embossed lizard figure in lower right corner."" Signed by Burroughs. Limited edition printing, number 136 of 178. In original matte and frame."
ghost-of-chance-1,William S. Burroughs,Ghost of Chance,New York: Whitney Museum of Art,1991,schottlaender/4.0/A66a,"First. Signed by Burroughs and George Condo, the illustrator. Unnumbered, one of 160, in slipcase."
the-seven-deadly-sins-1,William S. Burroughs,The Seven Deadly Sins,New York/St. Louis: Lococo/Mulder,1991,schottlaender/4.0/B18a,"First. Signed and numbered by Burroughs, 43 of 150. Leather bound, with shotgun pellet-perforated wood piece mounted on front cover. With shipping carton."
the-cat-inside-3,William S. Burroughs,The Cat Inside,New York: Viking Penguin,1992,schottlaender/4.0/A60b,"Second. Without dust jacket, as issued."
the-cat-inside-4,William S. Burroughs,The Cat Inside,New York: Viking Penguin,1992,schottlaender/4.0/A60b,"Second. Without dust jacket, as issued."
painting-guns-1,William S. Burroughs,Painting & Guns,"Madras, India and New York, NY: Hanuman Books",1992,schottlaender/4.0/A67,First. In orange wrappers. Cover variant with standing monkey with staff on back.
painting-guns-2,William S. Burroughs,Painting & Guns,"Madras, India and New York, NY: Hanuman Books",1992,schottlaender/4.0/A67,"First. In cream wrappers. Cover variant with monkey face surrounded by half circle on back, price tag on back, small tear to lower front."
paper-cloud-thick-pages-1,William S. Burroughs,Paper Cloud Thick Pages,Kyoto: Kyoto Shoin Int'l.,1992,schottlaender/4.0/B20,First. In laminated pictorial cardboard hardcover.
the-priest-they-called-him-1,"William S. Burroughs, Kurt Cobain","The ""Priest"" They Called Him","Portland, OR: Tim Kerr Records",1992,schottlaender/4.0/E22,First on vinyl.
the-priest-they-called-him-2,"William S. Burroughs, Kurt Cobain","The ""Priest"" They Called Him","Portland, OR: Tim Kerr Records",1992,schottlaender/4.0/E22,First on CD.
break-through-in-grey-room-1,William S. Burroughs,Break Through In Grey Room,"Brussels, Belgium: Sub Rosa",1993,schottlaender/4.0/E5b,Burroughs reading with support from Ian Sommerville and Brion Gysin.  CD.
the-letters-of-william-s-burr-1,William S. Burroughs,The Letters of William S. Burroughs: 1945 - 1959,"New York: Viking Penguin, Inc.",1993,schottlaender/4.0/H11a,"First. Proof copy, with publisher's letter to reviewers laid in."
the-letters-of-william-s-burr-2,William S. Burroughs,The Letters of William S. Burroughs: 1945 - 1959,"New York: Viking Penguin, Inc.",1993,schottlaender/4.0/H11a,First trade edition.
